Country Name,Country Code,Year,Access to electricity (% of population),Agricultural land (% of land area),Agricultural land (sq. km),"Agriculture, forestry, and fishing, value added (% of GDP)",Arable land (% of land area),CO2 emissions (kg per 2010 US$ of GDP),CO2 emissions (kg per 2011 PPP $ of GDP),CO2 emissions (kg per PPP $ of GDP),CO2 emissions (kt),CO2 emissions (metric tons per capita),CO2 emissions from gaseous fuel consumption (% of total),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (% of total),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (% of total),CO2 emissions from solid fuel consumption (kt),CPIA public sector management and institutions cluster average (1=low to 6=high),"Droughts, floods, extreme temperatures (% of population, average 1990-2009)","Foreign direct investment, net inflows (% of GDP)",Forest area (% of land area),Forest area (sq. km),Land area where elevation is below 5 meters (% of total land area),Marine protected areas (% of territorial waters),Methane emissions (% change from 1990),Methane emissions (kt of CO2 equivalent),"Mortality rate, under-5 (per 1,000 live births)",Nitrous oxide emissions (% change from 1990),Nitrous oxide emissions (thousand metric tons of CO2 equivalent),Other greenhouse gas emissions (% change from 1990),"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",Population growth (annual %),Population living in areas where elevation is below 5 meters (% of total population),"Population, total","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)",Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters (sq. km),Rural population living in areas where elevation is below 5 meters (% of total population),"School enrollment, primary and secondary (gross), gender parity index (GPI)",Terrestrial and marine protected areas (% of total territorial area),Terrestrial protected areas (% of total land area),Total greenhouse gas emissions (kt of CO2 equivalent),Urban land area where elevation is below 5 meters (% of total land area),Urban land area where elevation is below 5 meters (sq. km),Urban population,Urban population (% of total),Urban population growth (annual %),Urban population living in areas where elevation is below 5 meters (% of total population)
Central Europe and the Baltics,CEB,1998,100,54.76037922,605100,5.988837187,38.59018494,0.889850393,0.524343512,0.779772092,772365.542,7.072477883,16.93665549,130812.891,23.24167007,179510.651,57.15866037,441473.797,0,0,4.368816014,32.37676878,357762,0,0,-30.87691542,151473.77,13.8451488,-24.46559151,78229.3866,-91.76604783,4754.85951,-0.230120672,0,109207205,0,96.45668793,10.76702171,9.469545978,0,0,0,1.00135,0,0,992611.9161,0,0,67202248,61.53646041,-0.268577235,0
West Bank and Gaza,PSE,1998,98.73151398,57.97342193,3490,11.71394857,13.95348837,0.092816691,0.05202144,0.068152243,601.388,0.216594011,0,0,100,601.388,0,0,0,0,5.362926022,1.508305648,90.8,0,0,0,0,32.2,0,0,0,0,2.555269478,0,2776568,0,0,0,16.35581543,0,0,0,0,0,0,0,0,0,1985912,71.524,3.027526883,0
Bulgaria,BGR,1998,100,51.02594233,56450,13.75606451,31.96239718,1.495547176,0.669648196,0.987669771,48998.454,5.934325293,14.62355935,7165.318,24.90645113,12203.776,58.69630295,28760.281,0,0,3.672459263,30.42031999,33654,0,0,-12.69688367,13685.2,18.9,-45.32402238,5070.391,-37.77039314,135.7855,-0.667302701,0,8256786,0,93.96299744,7.465708845,5.889736549,0,0,0,0.981280029,0,0,71902.2765,0,0,5652100,68.454,-0.341007759,0
Botswana,BWA,1998,23.17440414,45.57902352,258310,3.166864256,0.405836995,0.436794729,0.207884075,0.272344748,3344.304,2.003027027,0,0,39.47368421,1320.12,60.52631579,2024.184,0,0,1.989749587,22.53559896,127716,0,0,-34.57123054,3974.15,82.5,-51.28919921,2627.6871,6092.325,24769.3,1.934592244,0,1669625,0,94.06529236,0,37.39760141,0,0,0,1.023710012,0,0,34293.8671,0,0,860274,51.525,3.59409117,0
Sub-Saharan Africa,SSF,1998,23.3738426,42.70713052,10086310,22.98312661,7.455776974,0.704462844,0.344944801,0.451905252,519714.2775,0.816926298,3.291849804,24282.09761,26.83345562,139457.3,66.31713172,0,0,0,2.131951376,28.32582227,6689820.2,0,0,-1.941932482,627784.0455,162.8,-15.40644346,375769.3698,114.3330344,4031938.054,2.675017459,0,636182577,0,53.59402084,18.87967876,72.25647708,0,0,0,0.83232,0,0,5549287.409,0,0,194909521,30.6373563,3.863427384,0
North America,NAC,1998,100,26.43045453,4824224,1.213168941,12.18743494,0.458524866,0.456165245,0.597903218,5908065.048,19.29713283,21.97531692,1298876.713,41.65611516,2461070.38,35.34649913,2089196.019,0,0,2.076027033,35.67814198,6512160,0,0,-3.087747688,692751.6326,8.6,8.902246649,411586.6747,184.089217,608217.4,1.142415706,0,306162843,0,0,16.14106176,6.428478511,0,0,0,1.02781,0,0,7878564.928,0,0,240079390,78.41558663,1.62230724,0
Pacific island small states,PSS,1998,52.50049832,12.98909657,8339,19.27863857,3.764614186,0.346064419,0.209855119,0.274926974,1774.828,0.92499613,0,0,94.4214876,1675.819,2.892561983,0,0,0,4.301476905,62.22461059,39948.2,0,0,-15.96160284,2612.51804,30.3231723,-31.35089732,2870.931355,144.2307692,254,1.276124744,0,1918741,0,95.71852875,38.56511427,41.12760049,0,0,0,0.99875,0,0,7140.509246,0,0,654867,34.13004325,1.907536309,0
Armenia,ARM,1998,98.87550354,46.64559185,13280,30.84724892,15.98173516,0.853355331,0.409739731,0.536791788,3362.639,1.081692124,83.09705562,2794.254,12.1046892,407.037,0.436205016,14.668,0,0,11.66113519,11.71057253,3334,0,0,-11.68079731,2552.16,33.2,-41.59472634,470.2142,-22.51197987,89.9078,-0.781897581,0,3108684,2.7,0,24.82636085,9.380563414,0,0,0,0,0,0,6737.042,0,0,2027670,65.226,-1.207230308,0
Central African Republic,CAF,1998,4.532320499,8.265112845,51490,51.53982158,3.098012777,0.16285105,0.082510666,0.108095565,249.356,0.069315906,0,0,100,249.356,0,0,0,0,0.754709452,36.01271309,224352,0,0,-46.41727885,22640.2,176.9,-48.31003812,26356.572,847.8796089,499579,2.251098402,0,3597385,0,0,78.84615385,89.01755746,0,0,0,0,0,0,548910.534,0,0,1348120,37.475,2.467438367,0
Uzbekistan,UZB,1998,99.50543213,64.26187118,273370,26.8,10.51951105,6.434759149,2.090050543,2.738133215,119144.497,4.953827159,79.25887169,94432.584,15.90902096,18954.723,3.40709735,4059.369,0,0,0.931351445,7.472026328,31786,0,0,10.32368511,36346.8,66.4,-6.482379746,10459.121,-88.39112915,127.0922,1.609490295,0,24051000,0,0,12.54466231,1.208921824,0,0,0,0,0,0,165588.0132,0,0,10862394,45.164,2.675736585,0
China,CHN,1998,95.5595932,55.78080213,5236830,17.15903476,12.76598464,1.735820144,0.831028812,1.088714146,3324344.519,2.67674598,1.520367721,50542.261,16.83699977,559719.879,73.60165991,2446772.747,0,0,4.251619792,18.43036653,1730285.2,0,0,4.26094738,1060240,41.4,21.64391794,414138.3,3.670219714,64134.4,0.959550406,0,1241935000,6.9,0,18.06115632,29.73990148,0,0,0,0,0,0,5141402.7,0,0,420606126,33.867,3.908078566,0
Fiji,FJI,1998,72.52761841,23.53585112,4300,14.3390953,9.304871374,0.306252744,0.152123423,0.19929384,770.07,0.96220863,0,0,87.14285714,671.061,6.666666667,51.338,0,0,6.458614594,53.36234264,9749.3,0,0,12.92976554,717.331,23.6,7.211849726,379.8771,217.5,254,0.935873889,0,800315,0,103.2655106,66.2329553,49.79259898,0,0,0,1.026000023,0,0,2322.7131,0,0,377132,47.123,1.769053332,0
IDA & IBRD total,IBT,1998,72.23109527,37.8444138,36191152.2,13.74081193,10.71411783,0.95766859,0.454760194,0.628236603,10614995.35,2.154913011,17.77520461,1942769.805,32.05750841,3402352.08,44.30693361,4914186.37,0,0,2.805188706,32.17567043,30802520.6,0,0,1.368846376,5089256.494,89.48747635,7.834743735,2160278.782,56.42684525,8480521.754,1.543542649,0,4925950743,0,78.58854675,26.02662419,30.0040947,0,0,0,0.89319,0,0,26698125.32,0,0,1947529026,39.55189003,2.731363481,0
Jordan,JOR,1998,98.57444763,12.08068903,10660,2.579244638,2.153218495,1.093281077,0.424626568,0.556294734,14543.322,2.95121382,3.227433182,469.376,87.69541099,12753.826,0,0,0,0,3.918115242,1.10494107,975,0,0,55.38477528,1345.57,29.2,38.78443246,873.8652,0,6.08,1.95996532,0,4927912,0,0,0.23721275,2.201988402,0,0,0,0,0,0,17159.4152,0,0,3855845,78.245,1.976590969,0
Bosnia and Herzegovina,BIH,1998,98.50772095,42.1875,21600,15.96041002,18.5546875,1.08300465,0.51416722,0.7456963,10593.963,2.824691473,3.046036691,322.696,20.35306334,2156.196,75.18172378,7964.724,0,0,1.621115881,42.7734375,21900,0,0,-52.20887034,2193.35,10.9,-23.53957344,963.2103,-53.3976646,450.646,-0.051873166,0,3750485,0,0,50.20381183,26.73914622,0,0,0,0,0,0,14843.3063,0,0,1566015,41.755,0.700589871,0
Northern Mariana Islands,MNP,1998,100,6.52173913,30,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.19565217,322.9,0,0,58.8577733,7.60252,0,-69.13104678,0.10197605,0,0,4.603866085,0,65474,0,0,0,0,0,0,0,0,0,0,7.70449605,0,0,58869,89.912,4.746606538,0
Slovenia,SVN,1998,100,24.32969215,4900,3.391754371,8.540218471,0.451007507,0.368587018,0.478337543,15192.381,7.666612166,12.35819455,1877.504,46.80183442,7110.313,37.09872073,5636.179,0,0,0.97489607,60.77457795,12240,0,0,-9.438122989,2747.43,6.2,-13.48615805,1097.5178,-64.36103288,336.31,-0.218117657,0,1981629,0,99.24598694,25.1238345,11.08845046,0,0,0,1.017850041,0,0,21456.2578,0,0,1004706,50.701,-0.166775353,0
Middle East & North Africa (IDA & IBRD countries),TMN,1998,90.01326526,24.68714922,2132456.2,13.15952806,6.056969733,0.971635628,0.339196991,0.444375161,799618.686,2.984813184,26.48102798,212304.4053,61.21261316,489467.493,2.459895991,24196.99168,0,0,0.663602348,2.193472503,189470.4,0,0,19.49797146,217224.298,50.15785634,16.63617685,74918.46539,-28.95337259,6283.058,1.955528747,0,267895723,0,81.5382309,8.547948336,3.312544167,0,0,0,0.87448,0,0,1076014.901,0,0,145686929,54.38195415,2.648549035,0
"Congo, Rep.",COG,1998,15.58725929,30.8579795,105380,10.95556908,1.437774524,0.106810202,0.056374209,0.073854719,777.404,0.255015905,32.54716981,253.023,45.75471698,355.699,0,0,0,0,1.681332131,66.14934114,225900,0,0,-5.57421256,6793.18,113.4,-25.09368099,3259.526,-62.62803809,18590.421,2.8610869,0,3048453,0,0,99.41860465,79.73475522,0,0,0,0,0,0,32353.097,0,0,1760969,57.766,3.672767493,0
Iraq,IRQ,1998,95.90908813,20.34890367,89000,10.9097071,10.63173057,0.849368482,0.300724497,0.393973121,72371.912,3.26142842,7.625658695,5518.835,88.86805837,64315.513,0,0,0,0,0,1.863868121,8152,0,0,-9.983427865,19282.9,46.6,5.572399373,5008.608,-89.76329542,333,3.116802189,0,22190250,0,0,1.916303118,0.390140044,0,0,0,0,0,0,106026.108,0,0,15175468,68.388,3.091942656,0
Cambodia,KHM,1998,18.67,26.22932246,46300,44.47995896,20.96079764,0.464426839,0.144632361,0.189479949,1950.844,0.168208993,0,0,96.2406015,1877.504,0,0,0,0,7.781726634,66.9929753,118256,0,0,35.14690024,20428.4,118.1,126.2230514,8795.878,0,95387.3,2.637210786,0,11597739,0,32.49053955,0,82.00027446,0,0,0,0.789420009,0,0,125316.384,0,0,2128765,18.355,4.25745446,0
Europe & Central Asia,ECS,1998,99.38183122,30.1595894,8235230,3.187689826,13.00726436,0.403092246,0.368460116,0.53830134,6552558.986,7.617161324,29.62387173,1933791.284,36.07689327,2359609.301,31.58032396,2090937.672,0,0,2.733390789,37.4412429,10268848.4,0,0,-19.30313337,1403940.551,24.2,-13.63662497,673245.714,107.9174638,1359954.945,0.130787027,0,860236341,0,95.69889069,18.8577327,7.494509555,0,0,0,0.98544,0,0,10186397.97,0,0,587696413,68.47451014,0.302766696,0
Indonesia,IDN,1998,80.94,24.22042758,438770,18.08287388,10.32253791,0.499581931,0.184435781,0.24162561,214200.471,1.041245921,22.44021023,48067.036,52.87864003,113266.296,14.98639002,32100.918,0,0,-0.252290448,56.98714375,1032362,0,0,30.81628697,276717,57.2,43.45795401,144254.16,-25.91737348,514596,1.414359893,0,205715544,25.8,0,15.76539635,48.29961688,0,0,0,0,0,0,1191187.16,0,0,81448955,39.593,4.458223428,0
Pakistan,PAK,1998,70.46,47.68576173,367600,25.30313827,40.3694479,0.89788098,0.218022776,0.285627258,97663.211,0.73845596,33.1843953,32408.946,53.88052416,52621.45,8.384335223,8188.411,0,0,0.813610046,2.851546285,21982,0,0,22.5313244,111268,118,40.73884828,25957.23,246.1303223,3780.93,2.423225602,0,132253264,0,0,34.31099835,51.6034781,0,0,0,0,0,0,234307.76,0,0,43094726,32.585,3.153210818,0
Sub-Saharan Africa (IDA & IBRD countries),TSS,1998,23.3738426,42.70713052,10086310,22.98312661,7.455776974,0.704462844,0.344944801,0.451905252,519714.2775,0.816926298,3.291849804,24282.09761,26.83345562,139457.3,66.31713172,0,0,0,2.131951376,28.32582227,6689820.2,0,0,-1.941932482,627784.0455,162.661626,-15.40644346,375769.3698,114.3330344,4031938.054,2.675017459,0,636182577,0,53.59402084,18.87967876,72.25647708,0,0,0,0.83232,0,0,5549287.409,0,0,194909521,30.6373563,3.863427384,0
Other small states,OSS,1998,49.9085085,40.4853976,817352,0,2.028400881,0,0,0,103018.1158,5.107283714,39.67236986,0,37.91044776,38891.41114,16.56352384,0,0,0,4.456578139,27.08792515,550516.3,0,0,4.139110845,42202.0298,94.34074674,-25.19134477,13222.45207,1480.361878,80899.2767,1.764926356,0,20170823,0,73.3481369,20.42774018,30.35097325,0,0,0,0.96344,0,0,210726.4114,0,0,9873089,48.947381,2.698000803,0
Paraguay,PRY,1998,87.4201889,49.33803171,196020,15.42465507,7.173420589,0.303888118,0.134469735,0.176166098,4503.076,0.884810711,0,0,91.93811075,4140.043,0,0,0,0,3.788547214,49.64963504,197258,0,0,-3.477217452,14961.9,35.5,-15.60406744,7569.456,-43.30946483,21048.3,2.16432965,0,5089310,0,92.52770996,99.97838178,67.43981568,0,0,0,0.989660025,0,0,48081.506,0,0,2750976,54.054,3.355407396,0
Romania,ROU,1998,100,64.23189163,147470,14.28287692,40.61588048,0.923882704,0.433239034,0.795287118,99830.408,4.435459288,34.37775492,34319.453,34.00308551,33945.419,27.97164267,27924.205,0,0,4.838478819,27.73204408,63670,0,0,-30.18168305,26116.1,24.6,-42.9286745,12628.098,-56.46972972,1323.612,-0.206980242,0,22507344,0,0,35.31105129,16.27513922,0,0,0,1.008370042,0,0,147443.81,0,0,11998890,53.311,-0.491693133,0
Iceland,ISL,1998,100,18.86284289,18910,8.202402871,1.296758105,0.222144934,0.238523005,0.268757961,2101.191,7.667265104,0,0,85.34031414,1793.163,11.86736475,249.356,0,0,1.771416124,0.261945137,262.6,0,0,-0.128476775,341.257,4.6,-2.317340597,399.0785,-99.31451994,127.9,1.070859043,0,274047,0,89.40071106,99.92039484,57.21244566,0,0,0,1.006850004,0,0,3585.2155,0,0,252455,92.121,1.245970553,0
Bermuda,BMU,1998,100,8,4,0.7,8,0.118983893,0.186102488,0.243809129,520.714,8.54427908,0,0,100,520.714,0,0,0,0,3.280366226,20,10,0,0,6.442369982,25.6326,0,4.687175927,14.864686,-100,-2.66E-14,0.737226639,0,60943,0,0,0,0,0,0,0,0,0,0,461.718286,0,0,60943,100,0.734522406,0
Heavily indebted poor countries (HIPC),HPC,1998,16.35826292,38.23164136,7552210,32.37259588,6.611328512,0.280866676,0.115876711,0.151807751,74385.095,0.165523206,6.827705201,0,82.92827212,61686.274,1.473995563,0,0,0,2.983143449,30.70085479,6064591.9,0,0,-4.523306205,474129.3647,156.9166847,-14.24288748,329457.0879,87.6673043,3805518.255,2.77265848,0,449393754,0,41.23020172,71.89828099,86.13676405,0,0,0,0.77481,0,0,4688341.281,0,0,126326988,28.11053508,3.831482935,0
Poland,POL,1998,100,60.21417611,184430,3.841311798,45.89441379,1.09154562,0.631720652,0.889400445,325431.582,8.417027479,6.695513037,21789.314,15.04067789,48947.116,75.96962117,247229.14,0,0,3.649901414,29.46031539,90234,0,0,-34.90516769,70049.2,10.8,-0.968545327,28967.671,-95.29478472,1193.811,0.035753301,0,38663481,0,97.39180756,1.799376292,6.536805795,0,0,0,0.989950001,0,0,388905.682,0,0,23827143,61.627,0.107174744,0
Tonga,TON,1998,84.01535034,43.05555556,310,21.61721506,20.83333333,0.29413504,0.209384169,0.274309992,88.008,0.906037988,0,0,100,88.008,0,0,0,0,0.024224572,12.5,90,0,0,-2.073079501,55.3717,18.1,4.988312033,20.258004,-100,-7.11E-15,0.42298629,0,97135,0,108.1236191,0,1.235416106,0,0,0,1.045889974,0,0,142.261304,0,0,22297,22.955,0.544151726,0
Mongolia,MNG,1998,72.63341522,83.12005973,1291320,32.43336876,0.866397178,2.094253732,0.720041645,0.943312089,7708.034,3.272230736,0,0,15.74690771,1213.777,83.5394862,6439.252,0,0,1.680836311,7.647467751,118808,0,0,3.701463913,8608.3,73.5,-5.986362624,4842.634,-16.41517119,25489.4,0.84817355,0,2355590,0,88.64092255,0,3.739136922,0,0,0,1.15455997,0,0,50019.834,0,0,1334889,56.669,0.768779014,0
Burundi,BDI,1998,3.9,74.49376947,19130,44.53870405,36.99376947,0.167509622,0.050701303,0.066422758,249.356,0.040307438,0,0,94.11764706,234.688,7.352941176,18.335,0,0,0.223771014,8.419003115,2162,0,0,14.67173144,1968.26,167.1,-9.601614553,608.1828,4801.568627,3249.74,1.207565317,0,6186352,0,0,98.21428571,95.26169809,0,0,0,0,0,0,6229.0728,0,0,484391,7.83,3.9522581,0
Algeria,DZA,1998,98.94764709,16.72138856,398260,11.47500357,3.216555963,1.038194799,0.360035443,0.471675198,106999.393,3.527173598,51.10867405,54685.971,30.950341,33116.677,1.974022413,2112.192,0,0,1.258826219,0.670350248,15966,0,0,32.55849954,42815.6,40.8,-2.141358816,4165.036,138.5018083,794.31,1.490807537,0,30335732,0,0,0.924254148,0.544070942,0,0,0,0,0,0,126561.246,0,0,17689675,58.313,2.818321192,0
Peru,PER,1998,72.072063,17.65859375,226030,8.378335158,3.21484375,0.337802893,0.170401555,0.223239653,27806.861,1.1034579,3.92984307,1092.766,83.01463801,23083.765,5.274957141,1466.8,0,0,2.961992147,59.76703125,765018,0,0,15.77842437,15717.5,45.7,22.87078537,6892.261,5.262262401,20366.5,1.48858708,0,25199748,0,97.70430756,74.99327052,32.69228951,0,0,0,0.970719993,0,0,70299.961,0,0,18198250,72.216,2.069087517,0
Slovak Republic,SVK,1998,100,50.79002079,24430,4.688795811,32.16216216,0.736866846,0.486203906,0.708139216,40480.013,7.509487589,32.0771809,12984.847,17.42911496,7055.308,44.69607754,18092.978,0,0,1.884520051,39.94178794,19212,0,0,-32.91552863,4327.74,10.6,-18.44287542,4268.328,-61.12145159,136.9,0.134121598,0,5390516,0,98.03057098,16.58246541,3.630589127,0,0,0,1.010990024,0,0,53026.068,0,0,3037825,56.355,0.025942976,0
Isle of Man,IMN,1998,100,75.43859649,430,0,32.45614035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.070175439,34.6,0,0,0,0,0,0,0,0,0,0.732470113,0,71390,0,0,0,0,0,0,0,0,0,0,0,0,0,36986,51.808,0.749026515,0
Luxembourg,LUX,1998,100,0,0,0.804875978,0,0.211815592,0.242342383,0.390449856,7356.002,17.32046621,19.69092722,1448.465,69.79062812,5133.8,5.782652044,425.372,0,0,0,0,870,0,0,5.229355456,1030.59,5.3,1.510694248,403.2759,329.3562809,30.635,1.243870803,0,424700,0,0,39.07103825,6.730018593,0,0,0,0,0,0,9328.0909,0,0,352047,82.893,1.381474469,0
Jamaica,JAM,1998,82.90695953,44.69067405,4840,7.171235351,13.388735,0.802722145,0.470079332,0.615841487,9717.55,3.721250211,0,0,95.20754717,9251.841,1.924528302,187.017,0,0,4.211922272,31.54570637,3416.4,0,0,9.84216615,1357.77,23.7,26.54721863,606.4902,-87.00119751,10.4,0.944181087,0,2611367,3.4,0,4.922839506,9.371866014,0,0,0,0,0,0,11874.5802,0,0,1340545,51.335,1.41279539,0
Sudan,SDN,1998,30.54086494,55.17760943,1311020,44.3945906,6.944444444,0.151251518,0.066343781,0.086915654,4697.427,0.142910349,0,0,97.89227166,4598.418,0,0,0,0,3.295015047,12.34511364,293319.9,0,0,24.49550606,58688.8,111.3,8.839288791,39166.95,10321.075,416843,2.307221342,0,26003542,0,0,53.05188199,81.90111294,0,0,0,0,0,0,519528.3,0,0,8422547,32.39,2.4709775,0
Kiribati,KIR,1998,48.30010986,41.97530864,340,24.38567308,2.469135802,0.21007444,0.181153833,0.237325996,29.336,0.359730227,0,0,100,29.336,0,0,0,0,0.673064238,15,121.5,0,0,18.98194213,12.0775,75.4,16.31721205,3.216436,-100,-1.78E-15,1.689233534,0,81550,0,0,0,4.18450097,0,0,0,1.02918005,0,0,39.106336,0,0,32733,40.138,5.204446843,0
Malta,MLT,1998,100,28.125,90,2.486973666,25,0.33587341,0.249704905,0.351153816,2145.195,5.567784535,0,0,100,2145.195,0,0,0,0,7.21712287,1.09375,3.5,0,0,22.78043434,225.183,8.3,4.024363806,77.35027,0,29.4,0.649936279,0,385287,0,102.1257782,0,0,0,0,0,0.990819991,0,0,2742.62327,0,0,353666,91.793,0.978287048,0
Trinidad and Tobago,TTO,1998,89.87014771,12.86549708,660,2.058058584,6.822612086,1.780909008,0.95047112,1.245193114,19123.405,15.14674759,84.90891659,16237.476,13.2885906,2541.231,0,0,0,0,12.07485755,45.8128655,2350.2,0,0,33.8403142,4065.52,32.6,77.83534368,1031.0879,5100,208,0.147747746,0,1262542,0,0,0.348229832,0.903392053,0,0,0,0,0,0,21180.0079,0,0,701834,55.589,0.477461497,0
Australia,AUS,1998,100,60.37072231,4637860,3.038954458,5.734610729,0.407557612,0.510497151,0.700515071,316883.805,16.93569585,12.73158595,40344.334,27.51605624,87193.926,58.50836082,185403.52,0,0,1.493343765,16.7633391,1287810,0,0,1.531914894,116914,6.4,0.949320295,63490.48,1210.583519,392308,1.042235716,0,18711000,0,0,8.434050016,8.595072694,0,0,0,0,0,0,920773.48,0,0,15811356,84.503,0.884967262,0
Low income,LIC,1998,14.93303345,36.89571787,5251224,33.51239964,7.454015289,0.774265233,0.291501968,0.38189087,173829.8223,0.39388133,7.541225802,0,48.42809655,84182.4742,38.06678689,0,0,0,1.744135822,28.46999753,4052024,0,0,-6.828331735,382429.04,153.6,-17.26109107,237722.9231,86.54967861,2663179,2.698152404,0,441325367,0,40.74137878,56.76426655,72.05928874,0,0,0,0.75902,0,0,3458948.863,0,0,115187996,26.10047043,3.740914361,0
Zimbabwe,ZWE,1998,33.07075119,37.53392788,145200,18.89032032,8.78893628,0.889085019,0.434017851,0.568598065,14253.629,1.198461534,0,0,27.81065089,3964.027,68.33033188,9739.552,0,0,6.940053217,50.53121365,195480,0,0,-9.889626661,9241.81,103.2,-17.07126499,5724.894,5737.55,46700.4,1.552994066,0,11893272,0,0,29.25717758,67.83880255,0,0,0,0,0,0,76391.804,0,0,3917525,32.939,2.790175636,0
Eritrea,ERI,1998,27.03146935,73.93069307,74670,23.36708701,4.930693069,0.294902073,0.100388449,0.13151689,590.387,0.183109853,0,0,96.27329193,568.385,0,0,0,0,19.92126693,15.69306931,15850,0,0,22.55680858,2537.6,98.4,24.74530081,1285.6227,0,209,1.969283943,0,3224223,0,0,0.512820513,75.0037673,0,0,0,0,0,0,4670.6717,0,0,802928,24.903,5.296699468,0
Morocco,MAR,1998,65.62527466,69.40622899,309760,16.11248841,20.23974905,0.573795329,0.252396309,0.330659332,32038.579,1.1371173,0.206020373,66.006,59.74590821,19141.74,28.51093053,9134.497,0,0,0.028391805,11.17006498,49852,0,0,-2.228339175,9018.37,54.5,-4.766799365,5428.441,88.57142857,33,1.247711681,0,28175263,0,53.50954056,13.70296114,16.87740436,0,0,0,0.780300021,0,0,45637.611,0,0,14842165,52.678,1.872309958,0
Vietnam,VNM,1998,83.93608856,24.74730406,80550,25.78078041,17.70561308,0.869394055,0.258435697,0.338571413,47513.319,0.605628611,3.997839006,1899.506,40.11731111,19061.066,45.67415297,21701.306,0,0,6.141214403,34.57617746,112542,0,0,20.39494789,72807.4,32.9,87.37661686,21761.969,659.2813436,43568.3,1.28227805,0,78452897,35.8,0,51.15732202,59.49934411,0,0,0,0.92723,0,0,186688.169,0,0,18335227,23.371,3.034744589,0
Burkina Faso,BFA,1998,8.020970345,36.44005848,99700,36.56355608,14.25438596,0.186735092,0.075493698,0.098902776,861.745,0.078563833,0,0,97.87234043,843.41,0,0,0,0,0.157122676,23.27412281,63678,0,0,27.24780884,9210.4,187.5,24.00070825,5210.418,14858.05,29916.1,2.802940418,0,10968724,0,0,23.15882875,91.01254906,0,0,0,0,0,0,45357.718,0,0,1810936,16.51,6.725018627,0
World,WLD,1998,76.50620569,38.10466118,49395508.2,5.61718617,10.79783235,0.519526476,0.412796248,0.560572011,24114192,4.045213948,18.61313869,4488408,42.01642336,10131921,35.62956204,8591781,0,0,2.195961411,31.37072228,40701356.8,0,0,0.190750977,6681100,81.8,5.6884282,3120987,62.40195967,9650383.646,1.390136166,0,5961166037,0,80.47850037,19.03618413,17.92092239,0,0,0,0.90973,0,0,44048270.65,0,0,2738111988,45.94787757,2.214158514,0
South Asia (IDA & IBRD),TSA,1998,53.72808492,57.00283475,2720694,24.58884951,44.4450241,1.151102478,0.34294702,0.449287999,1069733.573,0.800832072,8.847212557,98018.29648,31.29518475,334775.098,55.0423524,589404.2669,0,0,0.646091056,16.55219562,790021.4,0,0,8.111037504,791346.5083,101.006535,27.59724561,271178.6661,-31.43084496,39276.008,1.937575145,0,1335777637,0,67.56143951,19.40491023,53.90778359,0,0,0,0.7753,0,0,2197253.576,0,0,359266597,26.89568874,2.830692128,0
Monaco,MCO,1998,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0.866606246,0,31523,0,0,0,0,0,0,0,0,0,0,0,0,0,31523,100,0.866606246,0
Bolivia,BOL,1998,71.2,34.13828118,369820,12.62543215,2.74531524,0.839223706,0.307470399,0.402810791,10989.999,1.369256318,26.22622623,2882.262,60.06006006,6600.6,0,0,0,0,11.17146109,55.96953752,606318,0,0,-14.44515263,19195,88.2,-23.06200193,11238.368,-35.76853002,95786.4,1.955122156,0,8026254,5.9,0,43.2884097,31.40213607,0,0,0,0.952759981,0,0,136014.868,0,0,4875066,60.739,2.826550873,0
Niger,NER,1998,6.7,28.42030473,360000,42.62248374,11.03970948,0.2565321,0.109687482,0.143699366,957.087,0.090662867,0,0,71.26436782,682.062,27.5862069,264.024,0,0,-0.049299084,1.145811952,14514,0,0,30.41086251,5819.35,242.8,38.20949043,2528.2329,0,1401,3.631542238,0,10556549,46.9,18.85792923,0,0,0,0,0,0.620379984,0,0,10401.1439,0,0,1691159,16.02,4.151002377,0
Euro area,EMU,1998,100,47.70168994,1261911,2.359048344,26.12789188,0.252477137,0.258568714,0.361687549,2648245.061,8.290429954,20.89941192,554868.0618,49.54492144,1312070.935,26.13243458,692481.6722,0,0,2.108600892,36.2203346,965720.7,0,0,-7.836369115,362181.116,6.238030144,-8.605643001,258914.396,-42.24030902,74298.49001,0.210884452,0,319433983,0,97.01618958,13.64596019,7.294971874,0,0,0,0.9988,0,0,3457883.332,0,0,231837255,72.57751739,0.44841189,0
