Country,Code,Year,CO2PerGDP,CO2Total,CO2PerCapita,Population,id
Iraq,IRQ,1992,0.901930069,59112.04,3.202483538,18458187,368
Ireland,IRL,1992,0.577146704,31033.821,8.721211602,3558430,372
Isle of Man,IMN,1992,0,0,0,69475,833
Israel,ISR,1992,0.497372526,42790.223,8.352571345,5123000,376
Italy,ITA,1992,0.369244598,420535.227,7.404168932,56797087,380
Jamaica,JAM,1992,0.598288519,7715.368,3.129507147,2465362,388
Japan,JPN,1992,0.422984663,1123847.492,9.046579237,124229000,392
Jordan,JOR,1992,0.664299936,12266.115,3.091104577,3968198,400
Kazakhstan,KAZ,1992,2.133424394,262043.82,15.9402826,16439095,398
Kenya,KEN,1992,0.144698573,5540.837,0.22195351,24963953,404
Kiribati,KIR,1992,0.262322621,25.669,0.34331073,74769,296
"Korea, Dem. People’s Rep.",PRK,1992,0,0,0,20937404,408
"Korea, Rep.",KOR,1992,0.647079035,284280.508,6.498142885,43747962,410
Kuwait,KWT,1992,0.360400983,21085.25,0,0,414
Kyrgyz Republic,KGZ,1992,1.356369738,11217.353,2.484243478,4515400,417
Lao PDR,LAO,1992,0.046927178,256.69,0.057012284,4502363,418
Latvia,LVA,1992,0,14143.619,5.410019286,2614338,428
Lebanon,LBN,1992,0.494415773,10359.275,3.67107782,2821862,422
Lesotho,LSO,1992,0.918334362,1587.811,0.952426968,1667121,426
Liberia,LBR,1992,0.404471116,282.359,0.139593094,2022729,430
Libya,LBY,1992,0,37260.387,8.011256709,4651004,434
Liechtenstein,LIE,1992,0,0,0,29497,438
Lithuania,LTU,1992,0,22148.68,5.985945298,3700114,440
Luxembourg,LUX,1992,0.797898328,10571.961,26.95725378,392175,442
"Macao SAR, China",MAC,1992,0.097127638,1081.765,2.984516869,362459,446
"Macedonia, FYR",MKD,1992,1.108458372,10777.313,5.419387135,1988659,807
Madagascar,MDG,1992,0.080920441,1004.758,0.081678771,12301336,450
Malawi,MWI,1992,0.164619929,795.739,0.081784393,9729717,454
Malaysia,MYS,1992,0.485555998,75298.178,3.960409776,19012724,458
Maldives,MDV,1992,0,231.021,0.978115077,236190,462
Mali,MLI,1992,0.055790084,443.707,0.050033135,8868263,466
Malta,MLT,1992,0.520309681,2024.184,5.506215691,367618,470
Marshall Islands,MHL,1992,0.545985364,55.005,1.113957633,49378,584
Mauritania,MRT,1992,0.239861984,968.088,0.452072316,2141445,478
Mauritius,MUS,1992,0.287554859,1708.822,1.575762997,1084441,480
Mexico,MEX,1992,0.569035294,334698.091,3.767921409,88828310,484
"Micronesia, Fed. Sts.",FSM,1992,0.494907459,99.009,0.976294952,101413,583
Moldova,MDA,1992,0,20971.573,5.658816244,3706000,498
Monaco,MCO,1992,0,0,0,29863,492
Mongolia,MNG,1992,1.7402304,11019.335,4.911667117,2243502,496
Montenegro,MNE,1992,0,0,0,608516,499
Morocco,MAR,1992,0.369914698,26039.367,1.009610649,25791494,504
Mozambique,MOZ,1992,0.295061018,1004.758,0.071405124,14071231,508
Myanmar,MMR,1992,0.217610589,4888.111,0.117188667,41711465,104
Namibia,NAM,1992,0.179692927,1151.438,0.760667256,1513721,516
Nauru,NRU,1992,0,121.011,12.67661848,9546,520
Nepal,NPL,1992,0.078349768,1331.121,0.067317505,19773772,524
Netherlands,NLD,1992,0.521071143,162224.413,10.68378816,15184166,528
New Caledonia,NCL,1992,0,1584.144,8.810638546,179799,540
New Zealand,NZL,1992,0.476376906,25082.28,7.10204151,3531700,554
